cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
-10010563,C3NO,C3NO,CN(C)CO,"","",CN(C)CO,"{""Vadim Knyazev""}","{""2014-01-17 17:35:53.032565""}","",""
-1001064,CH2COHCH2,C3H5O,CH2=C(OH)-CH2&middot;,"","",CH2=C(OH)-CH2&middot;,"{""Vadim Knyazev""}","{""2014-01-17 17:54:32.452471""}","",""
-1001065,CH2C(OH)CH,C3H4O,c-CH2C(OH)=CH,"","",c-CH2C(OH)=CH,"{""Vadim Knyazev""}","{""2014-01-17 18:19:28.690804""}","",""
-1001066,CHC(OH)CH3,C3H5O,&middot;CH=C(OH)CH3,"","",&middot;CH=C(OH)CH3,"{""Vadim Knyazev""}","{""2014-01-17 18:25:48.950724""}","",""
14094781,CH2N4,CH2N4,5H-Tetrazole,"","",5H-Tetrazole,"{""Vadim Knyazev""}","{""2014-01-20 16:44:22.261837""}","",""
100043296,CH2N4,CH2N4,2H-Tetrazole,"","",2H-Tetrazole,"{""Vadim Knyazev""}","{""2014-01-20 16:44:42.059387""}","",""
288357,C2H3N3,C2H3N3,"2H-1,2,3-triazole","","","2H-1,2,3-triazole","{""Vadim Knyazev""}","{""2014-01-20 16:48:09.589082""}","",""
-1001067,CHNH2,CH3N,CH-NH2,"","",CH-NH2,"{""Vadim Knyazev""}","{""2014-01-20 17:25:05.372769""}","",""
-1001070,C5H5O,C5H5O,"2,4-cyclopentadienoxy",c-C5H5O,"","2,4-cyclopentadienoxy","{""Vadim Knyazev""}","{""2014-01-26 16:05:07.584913""}","",""
-1001071,C5H5O,C5H5O,&middot;CH=CH-CH=CH-CHO,"","",&middot;CH=CH-CH=CH-CHO,"{""Vadim Knyazev""}","{""2014-01-26 16:10:48.780543""}","",""
-1001307,C8H9O2,C8H9O2,"2-methyl, 6,6-methyleneperoxy -2,4-cyclohexadienyl radical","","","2-methyl, 6,6-methyleneperoxy -2,4-cyclohexadienyl radical","{""Vadim Knyazev""}","{""2014-05-27 15:35:26.770623""}","",""
27041323,C7H6,C7H6,"1,3-Cyclopentadiene, 5-ethenylidene-",fulveneallene,"","","{""Vadim Knyazev""}","{""2014-01-26 17:48:49.44272""}","",""
-1001308,C8H9O2,C8H9O2,(4-methyl-phenyl)-methyl peroxy radical,"","",(4-methyl-phenyl)-methyl peroxy radical,"{""Vadim Knyazev""}","{""2014-05-27 15:46:46.056971""}","",""
-1001309,C8H9O,C8H9O,(4-methyl-phenyl)-methoxy radical,"","",(4-methyl-phenyl)-methoxy radical,"{""Vadim Knyazev""}","{""2014-05-27 15:46:57.425348""}","",""
